Institution Name ,Cert ,FIN ,Location ,Effective Date ,Ins. Fund ,Transaction Type ,Charter Class ,Failure / Assistance ,Total Deposits ,Total Assets ,Estimated Loss 12/31/2016
FIRST SECURITY NATIONAL BANK,26290,10157,"NORCROSS, GA",12/4/2009,DIF,PA ,N ,FAILURE,"121,645","127,455","34,282"
THE TATNALL BANK,12080,10153,"REIDSVILLE, GA",12/4/2009,DIF,PA ,NM ,FAILURE,"47,100","49,612","14,705"
COMMERCE BANK OF SOUTHWEST FLORIDA,58016,10151,"FORT MYERS, FL",11/20/2009,DIF,PA ,NM ,FAILURE,"72,821","70,997","32,663"
PACIFIC COAST NATIONAL BANK,57914,10150,"SAN CLEMENTE, CA",11/13/2009,DIF,PA ,N ,FAILURE,"128,867","131,418","33,518"
"CENTURY BANK, A FEDERAL SAVINGS BANK",32267,10148,"SARASOTA, FL",11/13/2009,DIF,PA ,SB ,FAILURE,"659,742","755,923","307,848"
ORION BANK,22427,10149,"NAPLES, FL",11/13/2009,DIF,PA ,SM ,FAILURE,"2,169,446","2,612,515","723,577"
UNITED SECURITY BANK,22286,10145,"SPARTA, GA",11/6/2009,DIF,PA ,NM ,FAILURE,"149,616","153,639","62,455"
GATEWAY BANK OF ST LOUIS,19450,10146,"ST LOUIS, MO",11/6/2009,DIF,PA ,NM ,FAILURE,"27,534","26,882","11,648"
UNITED COMMERCIAL BANK,32469,10147,"SAN FRANCISCO, CA",11/6/2009,DIF,PA ,NM ,FAILURE,"7,653,666","10,895,336","637,948"
HOME FEDERAL SAVINGS BANK,30329,10144,"DETROIT, MI",11/6/2009,DIF,PA ,SB ,FAILURE,"12,730","12,994","8,501"
PROSPERAN BANK,35074,10143,"OAKDALE, MN",11/6/2009,DIF,PA ,NM ,FAILURE,"182,794","197,442","34,702"
COMMUNITY BANK OF LEMONT,35291,10137,"LEMONT, IL",10/30/2009,DIF,PA ,NM ,FAILURE,"80,688","81,843","26,196"
CALIFORNIA NATIONAL BANK,34659,10134,"LOS ANGELES, CA",10/30/2009,DIF,PA ,N ,FAILURE,"6,145,207","7,781,100","384,319"
MADISONVILLE STATE BANK,33782,10142,"MADISONVILLE, TX",10/30/2009,DIF,PA ,NM ,FAILURE,"224,653","256,330",820
PACIFIC NATIONAL BANK,30006,10139,"SAN FRANCISCO, CA",10/30/2009,DIF,PA ,N ,FAILURE,"1,757,986","2,319,263","94,163"
"BANK USA, NA",32218,10136,"PHOENIX, AZ",10/30/2009,DIF,PA ,N ,FAILURE,"170,685","213,205","14,994"
NORTH HOUSTON BANK,18776,10138,"HOUSTON, TX",10/30/2009,DIF,PA ,NM ,FAILURE,"307,166","325,474","22,147"
PARK NATIONAL BANK,11677,10140,"CHICAGO, IL",10/30/2009,DIF,PA ,N ,FAILURE,"3,716,626","4,680,881","118,067"
SAN DIEGO NATIONAL BANK,23594,10135,"SAN DIEGO, CA",10/30/2009,DIF,PA ,N ,FAILURE,"2,891,576","3,594,544","92,094"
CITIZENS NATIONAL BANK,25222,10141,"TEAGUE, TX",10/30/2009,DIF,PA ,N ,FAILURE,"97,590","118,236","8,517"
BANK OF ELMWOOD,18321,10132,"RACINE, WI",10/23/2009,DIF,PA ,SM ,FAILURE,"272,782","327,444","99,463"
FLAGSHIP NATIONAL BANK,35044,10129,"BRADENTON, FL",10/23/2009,DIF,PA ,N ,FAILURE,"170,118","177,563","62,112"
PARTNERS BANK,57959,10130,"NAPLES, FL",10/23/2009,DIF,PA ,SB ,FAILURE,"64,798","65,498","31,809"
HILLCREST BANK FLORIDA,58336,10131,"NAPLES, FL",10/23/2009,DIF,PA ,NM ,FAILURE,"83,254","82,774","43,715"
RIVERVIEW COMMUNITY BANK,57525,10133,"OSTEGO, MN",10/23/2009,DIF,PA ,NM ,FAILURE,"75,012","99,057","23,983"
AMERICAN UNITED BANK,57794,10127,"LAWRENCEVILLE, GA",10/23/2009,DIF,PA ,NM ,FAILURE,"102,386","110,094","44,097"
FIRST DUPAGE BANK,35038,10128,"WESTMONT, IL",10/23/2009,DIF,PA ,NM ,FAILURE,"253,992","262,093","86,947"
SAN JOAQUIN BANK,23266,10126,"BAKERSFIELD, CA",10/16/2009,DIF,PA ,SM ,FAILURE,"626,359","766,359","81,106"
JENNINGS STATE BANK,11416,10124,"SPRING GROVE, MN",10/2/2009,DIF,PA ,NM ,FAILURE,"50,801","52,347","19,113"
SOUTHERN COLORADO NATIONAL BANK,57263,10123,"PUEBLO, CO",10/2/2009,DIF,PA ,N ,FAILURE,"29,568","37,142","8,323"
WARREN BANK,34824,10125,"WARREN, MI",10/2/2009,DIF,PA ,SM ,FAILURE,"467,767","504,816","224,417"
GEORGIAN BANK,57151,10122,"ATLANTA, GA",9/25/2009,DIF,PA ,NM ,FAILURE,"1,960,123","2,230,230","964,821"
IRWIN UNION BANK AND TRUST COMPANY,10100,10120,"COLUMBUS, IN",9/18/2009,DIF,PA ,SM ,FAILURE,"2,254,025","2,839,747","765,284"
"IRWIN UNION BANK, FSB",57068,10121,"LOUISVILLE, KY",9/18/2009,DIF,PA ,SB ,FAILURE,"462,611","518,151","117,339"
"CORUS BANK, N.A.",13693,10117,"CHICAGO, IL",9/11/2009,DIF,PA ,N ,FAILURE,"7,060,693","7,003,321","32,205"
VENTURE BANK,22868,10119,"LACEY, WA",9/11/2009,DIF,PA ,NM ,FAILURE,"917,729","968,385","214,758"
BRICKWELL COMMUNITY BANK,57736,10118,"WOODBURY, MN",9/11/2009,DIF,PA ,NM ,FAILURE,"64,981","72,576","24,597"
PLATINUM COMMUNITY BANK,35030,10115,"ROLLING MEADOWS, IL",9/4/2009,DIF,PO ,SB ,FAILURE,"110,186","147,961",95
FIRST STATE BANK,34875,10114,"FLAGSTAFF, AZ",9/4/2009,DIF,PA ,NM ,FAILURE,"95,734","107,235","49,833"
VANTUS BANK,27732,10116,"SIOUX CITY, IA",9/4/2009,DIF,PA ,SB ,FAILURE,"394,369","503,643","103,196"
FIRST BANK OF KANSAS CITY,25231,10112,"KANSAS CITY, MO",9/4/2009,DIF,PA ,NM ,FAILURE,"14,479","15,723","7,548"
INBANK,20203,10113,"OAK FOREST, IL",9/4/2009,DIF,PA ,NM ,FAILURE,"209,211","209,848","56,911"
BRADFORD BANK,28312,10109,"BALTIMORE, MD",8/28/2009,DIF,PA ,SB ,FAILURE,"382,159","451,888","51,313"
AFFINITY BANK,27197,10110,"VENTURA, CA",8/28/2009,DIF,PA ,NM ,FAILURE,"905,593","1,211,431","234,872"
MAINSTREET BANK,1909,10111,"FOREST LAKE, MN",8/28/2009,DIF,PA ,NM ,FAILURE,"432,818","458,533","90,677"
GUARANTY BANK,32618,10105,"AUSTIN, TX",8/21/2009,DIF,PA ,SB ,FAILURE,"11,984,112","13,464,352",0
EBANK,34682,10107,"ATLANTA, GA",8/21/2009,DIF,PA ,SB ,FAILURE,"131,510","144,688","51,661"
FIRST COWETA,57702,10108,"NEWNAN, GA",8/21/2009,DIF,PA ,NM ,FAILURE,"154,903","163,755","66,684"
CAPITALSOUTH BANK,22130,10106,"BIRMINGHAM, AL",8/21/2009,DIF,PA ,SM ,FAILURE,"539,422","586,586","126,753"
COMMUNITY BANK OF ARIZONA,57645,10101,"PHOENIX, AZ",8/14/2009,DIF,PA ,NM ,FAILURE,"143,834","158,517","27,723"
COMMUNITY BANK OF NEVADA,34043,10100,"LAS VEGAS, NV",8/14/2009,DIF,PO ,SM ,FAILURE,"1,372,744","1,397,798","565,531"
"UNION BANK, NATIONAL ASSOCIATION",34485,10102,"GILBERT, AZ",8/14/2009,DIF,PA ,N ,FAILURE,"110,362","119,529","53,565"
DWELLING HOUSE SAVINGS AND LOAN,31559,10104,"PITTSBURGH, PA",8/14/2009,DIF,PA ,SB ,FAILURE,"12,984","12,947","9,140"
COLONIAL BANK,9609,10103,"MONTGOMERY, AL",8/14/2009,DIF,PA ,NM ,FAILURE,"20,072,099","25,455,112","2,983,542"
FIRST STATE BANK,27364,10098,"SARASOTA, FL",8/7/2009,DIF,PA ,NM ,FAILURE,"394,701","447,667","121,899"
COMMUNITY NATIONAL BANK OF SARASOTA COUNTY,27183,10099,"VENICE, FL",8/7/2009,DIF,PA ,N ,FAILURE,"92,352","92,528","25,976"
COMMUNITY FIRST BANK,23268,10092,"PRINEVILLE, OR",8/7/2009,DIF,PA ,SM ,FAILURE,"180,691","199,508","74,175"
FIRST STATE BANK OF ALTUS,9873,10093,"ALTUS, OK",7/31/2009,DIF,PA ,NM ,FAILURE,"98,161","90,867","27,184"
MUTUAL BANK,18659,10094,"HARVEY, IL",7/31/2009,DIF,PA ,NM ,FAILURE,"1,546,525","1,595,657","797,140"
PEOPLES COMMUNITY BANK,32288,10096,"WEST CHESTER, OH",7/31/2009,DIF,PA ,SB ,FAILURE,"538,787","606,153","66,587"
FIRST BANKAMERICANO,34270,10097,"ELIZABTH, NJ",7/31/2009,DIF,PA ,NM ,FAILURE,"155,463","163,372","18,783"
INTEGRITY BANK,57604,10095,"JUPITER, FL",7/31/2009,DIF,PA ,NM ,FAILURE,"98,511","105,298","37,239"
WATERFORD VILLAGE BANK,58065,10091,"WILLIAMSVILLE, NY",7/24/2009,DIF,PA ,NM ,FAILURE,"56,145","55,707","7,875"
SECURITY BANK OF NORTH METRO,57105,10090,"WOODSTOCK, GA",7/24/2009,DIF,PA ,NM ,FAILURE,"182,413","184,184","102,031"
SECURITY BANK OF GWINNETT COUNTY,57346,10086,"SUWANNEE, GA",7/24/2009,DIF,PA ,NM ,FAILURE,"256,578","259,182","193,519"
SECURITY BANK OF NORTH FULTON,57430,10089,"ALPHARETTA, GA",7/24/2009,DIF,PA ,NM ,FAILURE,"179,523","190,564","49,000"
SECURITY BANK OF BIBB COUNTY,27367,10085,"MACON, GA",7/24/2009,DIF,PA ,NM ,FAILURE,"831,437","943,744","415,485"
SECURITY BANK OF HOUSTON COUNTY,27048,10087,"PERRY, GA",7/24/2009,DIF,PA ,NM ,FAILURE,"313,155","371,624","50,980"
SECURITY BANK OF JONES COUNTY,8486,10088,"GRAY, GA",7/24/2009,DIF,PA ,NM ,FAILURE,"375,238","432,712","98,201"
TEMECULA VALLEY BANK,34341,10082,"TEMECULA, CA",7/17/2009,DIF,PA ,NM ,FAILURE,"1,276,287","1,396,622","227,400"
BANKFIRST,34103,10081,"SIOUX FALLS, SD",7/17/2009,DIF,PA ,SM ,FAILURE,"232,203","210,844","112,171"
FIRST PIEDMONT BANK,34594,10084,"WINDER, GA",7/17/2009,DIF,PA ,NM ,FAILURE,"108,499","114,113","37,998"
"VINEYARD BANK, NATIONAL ASSOCIATION",23556,10083,"RANCHO CUCAMONGA, CA",7/17/2009,DIF,PA ,N ,FAILURE,"1,526,186","1,638,378","288,613"
BANK OF WYOMING,22754,10080,"THERMOPOLIS, WY",7/10/2009,DIF,PA ,NM ,FAILURE,"66,598","70,188","32,758"
FOUNDERS BANK,18390,10074,"WORTH, IL",7/2/2009,DIF,PA ,NM ,FAILURE,"832,160","889,172","131,780"
ROCK RIVER BANK,15302,10075,"OREGON, IL",7/2/2009,DIF,PA ,NM ,FAILURE,"74,896","74,808","18,696"
THE FIRST STATE BANK OF WINCHESTER,11710,10077,"WINCHESTER, IL",7/2/2009,DIF,PA ,NM ,FAILURE,"30,806","30,073","8,092"
THE JOHN WARNER BANK,12093,10076,"CLINTON, IL",7/2/2009,DIF,PA ,NM ,FAILURE,"65,179","69,609","13,893"
MILLENNIUM STATE BANK OF TEXAS,57667,10079,"DALLAS, TX",7/2/2009,DIF,PA ,NM ,FAILURE,"115,478","118,601","52,700"
THE ELIZABETH STATE BANK,9262,10073,"ELIZABETH, IL",7/2/2009,DIF,PA ,NM ,FAILURE,"48,131","55,027","9,418"
THE FIRST NATIONAL BANK OF DANVILLE,3644,10078,"DANVILLE, IL",7/2/2009,DIF,PA ,N ,FAILURE,"140,185","148,218","25,001"
HORIZON BANK,9744,10070,"PINE CITY, MN",6/26/2009,DIF,PA ,NM ,FAILURE,"69,254","84,763","24,010"
METROPACIFIC BANK,57893,10071,"IRVINE, CA",6/26/2009,DIF,PA ,NM ,FAILURE,"70,078","75,316","32,168"
COMMUNITY BANK OF WEST GEORGIA,57436,10068,"VILLA RICA, GA",6/26/2009,DIF,PO ,SM ,FAILURE,"189,398","201,222","74,315"
MIRAE BANK,57332,10072,"LOS ANGELES, CA",6/26/2009,DIF,PA ,NM ,FAILURE,"409,951","480,619","46,056"
NEIGHBORHOOD COMMUNITY BANK,35285,10069,"NEWNAN, GA",6/26/2009,DIF,PA ,SM ,FAILURE,"190,070","212,616","80,745"
SOUTHERN COMMUNITY BANK,35251,10067,"FAYETTEVILLE, GA",6/19/2009,DIF,PA ,NM ,FAILURE,"297,962","371,695","136,636"
FIRST NATIONAL BANK OF ANTHONY,4614,10066,"ANTHONY, KS",6/19/2009,DIF,PA ,N ,FAILURE,"142,551","156,954","33,230"
COOPERATIVE BANK,27837,10065,"WILMINGTON, NC",6/19/2009,DIF,PA ,NM ,FAILURE,"768,479","966,778","287,395"
BANK OF LINCOLNWOOD,17309,10064,"LINCOLNWOOD, IL",6/5/2009,DIF,PA ,NM ,FAILURE,"209,285","212,718","71,926"
CITIZENS NATIONAL BANK,5757,10063,"MACOMB, IL",5/22/2009,DIF,PA ,N ,FAILURE,"393,635","438,560","38,838"
STRATEGIC CAPITAL BANK,35175,10062,"CHAMPAIGN, IL",5/22/2009,DIF,PA ,NM ,FAILURE,"479,384","546,576","103,146"
"BANKUNITED, FSB",32247,10061,"CORAL GABLES, FL",5/21/2009,DIF,PA ,SB ,FAILURE,"8,775,985","13,111,463","5,259,246"
WESTSOUND BANK,34843,10060,"BREMERTON, WA",5/8/2009,DIF,PA ,NM ,FAILURE,"304,464","334,608","84,061"
AMERICA WEST BANK,35461,10057,"LAYTON, UT",5/1/2009,DIF,PA ,NM ,FAILURE,"286,040","281,564","116,556"
"SILVERTON BANK, NATIONAL ASSOCIATION",26535,10059,"ATLANTA, GA",5/1/2009,DIF,PO*,N ,FAILURE,"3,314,928","4,157,246","652,400"
CITIZENS COMMUNITY BANK,57563,10058,"RIDGEWOOD, NJ",5/1/2009,DIF,PA ,NM ,FAILURE,"40,664","40,657","19,294"
FIRST BANK OF BEVERLY HILLS,32069,10054,"CALABASAS, CA",4/24/2009,DIF,PO ,NM ,FAILURE,"866,492","1,260,354","14,819"
MICHIGAN HERITAGE BANK,34369,10056,"FARMINGTON HILLS, MI",4/24/2009,DIF,PA ,SM ,FAILURE,"149,065","167,710","50,302"
"FIRST BANK OF IDAHO, FSB",34396,10055,"KETCHUM, ID",4/24/2009,DIF,PA ,SB ,FAILURE,"370,580","490,656","112,349"
AMERICAN SOUTHERN BANK,57943,10053,"KENNESAW, GA",4/24/2009,DIF,PA ,NM ,FAILURE,"105,940","105,950","33,999"
GREAT BASIN BANK OF NEVADA,33824,10051,"ELKO, NV",4/17/2009,DIF,PA ,NM ,FAILURE,"220,834","238,940","20,538"
AMERICAN STERLING BANK,8266,10052,"SUGAR CREEK, MO",4/17/2009,DIF,PA ,SB ,FAILURE,"170,946","166,456","47,037"
CAPE FEAR BANK,34639,10049,"WILMINGTON, NC",4/10/2009,DIF,PA ,NM ,FAILURE,"402,820","492,418","118,613"
NEW FRONTIER BANK,34881,10050,"GREELEY, CO",4/10/2009,DIF,PO ,NM ,FAILURE,"1,496,347","1,774,588","920,747"
OMNI NATIONAL BANK,22238,10048,"ATLANTA, GA",3/27/2009,DIF,PO ,N ,FAILURE,"813,205","979,585","305,510"
FIRSTCITY BANK,18243,10047,"STOCKBRIDGE, GA",3/20/2009,DIF,PO ,NM ,FAILURE,"259,056","285,015","139,446"
"TEAMBANK, N.A.",4754,10046,"PAOLA, KS",3/20/2009,DIF,PA ,N ,FAILURE,"532,520","669,830","134,593"
COLORADO NATIONAL BANK,18896,10045,"COLORADO SPRINGS, CO",3/20/2009,DIF,PA ,N ,FAILURE,"85,150","123,508","12,687"
FREEDOM BANK OF GEORGIA,57558,10044,"COMMERCE, GA",3/6/2009,DIF,PA ,NM ,FAILURE,"159,048","172,454","43,793"
SECURITY SAVINGS BANK,34820,10043,"HENDERSON, NV",2/27/2009,DIF,PA ,NM ,FAILURE,"174,872","238,307","35,125"
HERITAGE COMMUNITY BANK,20078,10042,"GLENWOOD, IL",2/27/2009,DIF,PA ,NM ,FAILURE,"225,735","235,154","49,909"
SILVER FALLS BANK,35399,10041,"SILVERTON, OR",2/20/2009,DIF,PA ,NM ,FAILURE,"115,976","134,206","39,946"
PINNACLE BANK,57342,10040,"BEAVERTON, OR",2/13/2009,DIF,PA ,NM ,FAILURE,"64,168","71,921","10,218"
RIVERSIDE BANK OF THE GULF COAST,34563,10038,"CAPE CORAL, FL",2/13/2009,DIF,PA ,SM ,FAILURE,"422,708","523,673","200,275"
SHERMAN COUNTY BANK,5431,10039,"LOUP CITY, NE",2/13/2009,DIF,PA ,NM ,FAILURE,"90,647","135,431","42,684"
CORN BELT BANK AND TRUST COMPANY,16500,10037,"PITTSFIELD, IL",2/13/2009,DIF,PA ,NM ,FAILURE,"233,788","260,201","81,225"
COUNTY BANK,22574,10034,"MERCED, CA",2/6/2009,DIF,PA ,SM ,FAILURE,"1,324,635","1,711,552","63,661"
ALLIANCE BANK,23124,10035,"CULVER CITY, CA",2/6/2009,DIF,PA ,NM ,FAILURE,"951,106","1,113,361","122,733"
FIRSTBANK FINANCIAL SERVICES,57017,10036,"MCDONOUGH, GA",2/6/2009,DIF,PA ,NM ,FAILURE,"279,308","317,237","152,700"
SUBURBAN FEDERAL SAVINGS BANK,30763,10033,"CROFTON, MD",1/30/2009,DIF,PA ,SB ,FAILURE,"301,847","347,408","73,819"
OCALA NATIONAL BANK,26538,10032,"OCALA, FL",1/30/2009,DIF,PA ,N ,FAILURE,"204,663","219,424","93,986"
MAGNET BANK,58001,10031,"SALT LAKE CITY, UT",1/30/2009,DIF,PO ,NM ,FAILURE,"282,578","300,674","170,819"
1ST CENTENNIAL BANK,33025,10030,"REDLANDS, CA",1/23/2009,DIF,PI ,NM ,FAILURE,"678,570","797,959","137,245"
COUNTRYWIDE BANK FSB,33143,N/A,"ALEXANDRIA, VA",1/16/2009,***,A/A ,SB ,ASSISTANCE,"43,663,251","117,978,966",N/A
FIA CARD SERVICES N.A.,33318,N/A,"WILMINGTON, DE",1/16/2009,***,A/A ,N ,ASSISTANCE,"9,816,599","159,637,136",N/A
MERRILL LYNCH BANK USA,27374,N/A,"SALT LAKE CITY, UT",1/16/2009,***,A/A ,NM ,ASSISTANCE,"53,620,324","61,809,503",N/A
BANK OF AMERICA OREGON N.A.,35453,N/A,"PORTLAND, OR",1/16/2009,***,A/A ,N ,ASSISTANCE,500,"11,526,309",N/A
MERRILL LYNCH BANK & TRUST CO FSB,34571,N/A,"NEW YORK, NY",1/16/2009,***,A/A ,SB ,ASSISTANCE,"28,539,028","37,986,413",N/A
BANK OF CLARK COUNTY,34959,10029,"VANCOUVER, WA",1/16/2009,DIF,PI ,NM ,FAILURE,"377,506","441,085","150,072"
BANK OF AMERICA RHODE ISLAND N.A.,58032,N/A,"PROVIDENCE, RI",1/16/2009,***,A/A ,N ,ASSISTANCE,500,"35,410,586",N/A
BANK OF AMERICA N.A.,3510,N/A,"CHARLOTTE, NC",1/16/2009,***,A/A ,N ,ASSISTANCE,"954,677,580","1,471,631,047",N/A
BANK OF AMERICA CALIFORNIA N.A.,25178,N/A,"SAN FRANCISCO, CA",1/16/2009,***,A/A ,N ,ASSISTANCE,500,"21,502,223",N/A
NATIONAL BANK OF COMMERCE,19733,10028,"BERKELEY, IL",1/16/2009,DIF,PA ,N ,FAILURE,"395,868","419,741","80,836"
SANDERSON STATE BANK,11568,10026,"SANDERSON, TX",12/12/2008,DIF,PA ,NM ,FAILURE,"32,012","38,217","8,092"
HAVEN TRUST BANK,35379,10027,"DULUTH, GA",12/12/2008,DIF,PA ,NM ,FAILURE,"489,692","559,551","248,360"
FIRST GEORGIA COMMUNITY BANK,34301,10025,"JACKSON, GA",12/5/2008,DIF,PA ,SM ,FAILURE,"215,287","256,371","87,857"
"CITICORP TRUST BANK, FSB",18708,N/A,"WILMINGTON, DE",11/23/2008,***,A/A ,SB ,ASSISTANCE,"7,231,013","19,599,414",N/A
CITIBANK (BANAMEX USA),18923,N/A,"CENTURY CITY, CA",11/23/2008,***,A/A ,NM ,ASSISTANCE,"876,086","1,322,720",N/A
"CITIBANK (SOUTH DAKOTA), N.A.",23360,N/A,"SIOUX FALLS, SD",11/23/2008,***,A/A ,N ,ASSISTANCE,"42,356,986","77,737,957",N/A
"CITIBANK, NATIONAL ASSOCIATION",7213,N/A,"LAS VEGAS, NV",11/23/2008,***,A/A ,N ,ASSISTANCE,"230,042,000","1,207,007,000",N/A
DEPARTMENT STORES NATIONAL BANK,58180,N/A,"SIOUX FALLS, SD",11/23/2008,***,A/A ,N ,ASSISTANCE,"300,881","374,903",N/A
THE COMMUNITY BANK,16490,10022,"LOGANVILLE, GA",11/21/2008,DIF,PA ,NM ,FAILURE,"603,733","634,901","334,604"
"DOWNEY SAVINGS AND LOAN ASSOCIATION, F.A.",30968,10023,"NEWPORT BEACH, CA",11/21/2008,DIF,PA ,SB ,FAILURE,"9,653,169","12,779,371","189,333"
PFF BANK & TRUST,28344,10024,"POMONA, CA",11/21/2008,DIF,PA ,SB ,FAILURE,"2,393,845","3,715,433","299,765"
SECURITY PACIFIC BANK,23595,10020,"SAN DIEGO, CA",11/7/2008,DIF,PA ,NM ,FAILURE,"456,472","527,959","150,685"
"FRANKLIN BANK, SSB",26870,10021,"HOUSTON, TX",11/7/2008,DIF,PA ,SB ,FAILURE,"3,692,887","5,089,260","685,863"
FREEDOM BANK,57930,10019,"BRADENTON, FL",10/31/2008,DIF,PA ,NM ,FAILURE,"256,793","270,842","114,043"
ALPHA BANK & TRUST,58241,10018,"ALPHARETTA, GA",10/24/2008,DIF,PI ,NM ,FAILURE,"344,231","354,090","213,214"
MAIN STREET BANK,57654,10016,"NORTHVILLE, MI",10/10/2008,DIF,PA ,NM ,FAILURE,"98,934","112,368","56,318"
MERIDIAN BANK,13789,10017,"ELDRED, IL",10/10/2008,DIF,PA ,NM ,FAILURE,"36,090","38,223","16,618"
WASHINGTON MUTUAL BANK,32633,10015,"HENDERSON, NV",9/25/2008,DIF,PA ,SB ,FAILURE,"188,260,793","307,021,614",0
"AMERIBANK, INC.",6782,10014,"NORTHFORK, WV",9/19/2008,DIF,PA ,SB ,FAILURE,"100,901","103,965","38,290"
SILVER STATE BANK,34194,10013,"HENDERSON, NV",9/5/2008,DIF,PI ,NM ,FAILURE,"1,733,091","1,957,120","715,819"
INTEGRITY BANK,35469,10012,"ALPHARETTA, GA",8/29/2008,DIF,PA ,NM ,FAILURE,"962,456","1,107,514","467,888"
THE COLUMBIAN BANK AND TRUST COMPANY,22728,10011,"TOPEKA, KS",8/22/2008,DIF,PI ,NM ,FAILURE,"620,354","735,071","334,832"
FIRST PRIORITY BANK,57523,10010,"BRADENTON, FL",8/1/2008,DIF,PI ,NM ,FAILURE,"226,698","258,610","95,555"
FIRST NATIONAL BANK OF NEVADA,27011,10008,"RENO, NV",7/25/2008,DIF,PA ,N ,FAILURE,"3,038,053","3,411,145","719,291"
FIRST HERITAGE BANK N.A.,57961,10009,"NEWPORT BEACH, CA",7/25/2008,DIF,PA ,N ,FAILURE,"234,812","255,376","92,139"
INDYMAC BANK F.S.B,29730,10007,"PASADENA, CA",7/11/2008,DIF,PI*,SB ,FAILURE,"18,941,727","30,698,512","12,380,894"
"FIRST INTEGRITY BANK, N.A.",12736,10006,"STAPLES, MN",5/30/2008,DIF,PA ,N ,FAILURE,"50,178","52,916","10,305"
ANB FINANCIAL NATIONAL ASSOCIATION,33901,10005,"BENTONVILLE, AR",5/9/2008,DIF,PI ,N ,FAILURE,"1,815,691","1,895,545","1,030,148"
HUME BANK,1971,10004,"HUME, MO",3/7/2008,DIF,PI ,NM ,FAILURE,"13,566","18,682","3,982"
DOUGLASS NATIONAL BANK,24660,10003,"KANSAS CITY, MO",1/25/2008,DIF,PA ,N ,FAILURE,"50,250","52,824","7,157"
MIAMI VALLEY BANK,16848,10002,"LAKEVIEW, OH",10/4/2007,DIF,PI ,NM ,FAILURE,"119,601","125,362","28,394"
NETBANK,32575,10001,"ALPHARETTA, GA",9/28/2007,DIF,PI ,SB ,FAILURE,"2,290,046","2,473,806","123,453"
METROPOLITAN SAVINGS BANK,35353,10000,"PITTSBURGH, PA",2/2/2007,DIF,PI ,SB ,FAILURE,"14,540","15,760","9,438"
BANK OF EPHRAIM,1249,4665,"EPHRAIM, UT",6/25/2004,BIF,PI ,SM ,FAILURE,"52,329","56,774","2,998"
RELIANCE BANK,26778,4664,"WHITE PLAINS, NY",3/19/2004,BIF,PA ,NM ,FAILURE,"27,881","28,637",919
GUARANTY NATIONAL BANK,26838,4663,"TALLAHASSEE, FL",3/12/2004,BIF,PA ,N ,FAILURE,"65,614","71,280",0
DOLLAR SAVINGS BANK,31330,6006,"NEWARK, NJ",2/14/2004,SAIF,PO ,SB ,FAILURE,"10,909","13,408",0
PULASKI SAVINGS BANK,27203,4662,"PHILADELPHIA, PA",11/14/2003,BIF,PA ,SB ,FAILURE,"9,058","8,487",679
THE FIRST NATIONAL BANK OF BLANCHARDVILLE,11639,4661,"BLANCHARDVILLE, WI",5/9/2003,BIF,PI ,N ,FAILURE,"28,760","34,536","12,788"
SOUTHERN PACIFIC BANK,27094,4660,"TORRANCE, CA",2/7/2003,BIF,PI ,NM ,FAILURE,"864,160","904,294","49,179"
THE FARMERS BANK & TRUST OF CHENEYVILLE,16445,4659,"CHENEYVILLE, LA",12/17/2002,BIF,PI ,NM ,FAILURE,"32,103","35,317","12,205"
BANK OF ALAMO,9961,4658,"ALAMO, TN",11/8/2002,BIF,PO ,NM ,FAILURE,"52,157","58,454","9,316"
AMTRADE INTERNATIONAL BANK OF GEORGIA,33784,4657,"ATLANTA, GA",9/30/2002,BIF,PO ,SM ,FAILURE,"73,205","92,144","1,326"
UNIVERSAL FSB,29355,6005,"CHICAGO, IL",6/27/2002,SAIF,PI ,SB ,FAILURE,"40,340","51,628",274
CONNECTICUT BANK OF COMMERCE,19183,4656,"STAMFORD, CT",6/26/2002,BIF,PI ,NM ,FAILURE,"344,416","384,172","53,784"
NEW CENTURY BANK,34979,4655,"SHELBY TOWNSHIP, MI",3/28/2002,BIF,PO ,SM ,FAILURE,"18,902","21,091","4,440"
NET FIRST NATIONAL BANK,26652,4654,"BOCA RATON, FL",3/1/2002,BIF,PI ,N ,FAILURE,"31,601","37,207",N/A
NEXTBANK,22314,4653,"PHOENIX, AZ",2/7/2002,BIF,PO ,N ,FAILURE,"551,297","700,180","164,047"
OAKWOOD DEPOSIT BANK,8966,4652,"OAKWOOD, OH",2/1/2002,BIF,PI ,SM ,FAILURE,"60,168","72,267","63,600"
BANK OF SIERRA BLANCA,22002,4651,"SIERRA BLANCA, TX",1/18/2002,BIF,PI ,NM ,FAILURE,"9,914","10,764","4,574"
"HAMILTON BANK, NATIONAL ASSOCIATION",24382,4650,"MIAMI, FL",1/11/2002,BIF,PI ,N ,FAILURE,"1,298,731","1,409,496","101,748"
SINCLAIR NATIONAL BANK,34248,4649,"GRAVETTE, AR",9/7/2001,BIF,PI ,N ,FAILURE,"26,054","29,792","4,206"
"SUPERIOR BANK, FSB",32646,6004,"HINSDALE, IL",7/27/2001,SAIF,PI*,SB ,FAILURE,"1,609,501","1,765,455","286,673"
MALTA NATIONAL BANK,6629,4648,"MALTA, OH",5/3/2001,BIF,PA ,N ,FAILURE,"8,728","9,075",769
